,cameraLocation,cameraNumber,cameraProject,Location 1,latitude,longitude,neighborhood
200,Greenmount Ave and E 29th St,534,Greenmount,"(39.324668506886333, -76.612491308403833)",39.32466850688633,-76.61249130840383,Abell
201,Greenmount Ave and E 30th St,535,Greenmount,"(39.323561803873233, -76.608828638501038)",39.32356180387323,-76.60882863850104,Abell
202,Greenmount Ave and E 31st St,536,Greenmount,"(39.325619074558503, -76.608588963083704)",39.3256190745585,-76.6085889630837,Abell
203,Greenmount Ave and E 32nd St,537,Greenmount,"(39.327658005347253, -76.609099552615518)",39.32765800534725,-76.60909955261552,Abell
204,Greenmount Ave and E 33rd St,538,Greenmount,"(39.328971981558936, -76.609427388260741)",39.32897198155894,-76.60942738826074,Waverly
205,E Monument St and N Chester St,601,Monument,"(39.298647000000003, -76.587868999999998)",39.298647,-76.587869,McElderryPark
206,McElderry St and N Duncan St,602,Monument,"(39.297607091153168, -76.587149798870087)",39.29760709115317,-76.58714979887009,ButchersHill
207,E Monument St and Collington,603,Monument,"(39.298690999999998, -76.586667000000006)",39.298691,-76.586667,ButchersHill
208,E Madison St and N Mederia St,604,Monument,"(39.299697261790918, -76.585991084575653)",39.29969726179092,-76.58599108457565,ButchersHill
209,E Monument St and N Patterson Park Ave,605,Monument,"(39.298669827220472, -76.584993302822113)",39.29866982722047,-76.58499330282211,McElderryPark
210,McElderry St and N Bradford St,606,Monument,"(39.297621620856617, -76.584298610687256)",39.29762162085662,-76.58429861068726,McElderryPark
211,E Monument St and N Montford Ave,607,Monument,"(39.298806999999996, -76.583720999999997)",39.298807,-76.583721,McElderryPark
212,E Madison St and N Port,608,Monument,"(39.299892999999997, -76.583081000000007)",39.299893,-76.583081,McElderryPark
213,E Monument St and N Milton Ave,609,Monument,"(39.298861000000002, -76.582318999999998)",39.298861,-76.582319,McElderryPark
214,McElderry St and N Rose St,610,Monument,"(39.297810506700003, -76.581468880200006)",39.2978105067,-76.5814688802,McElderryPark
215,E Monument St and N Luzerne Ave,611,Monument,"(39.298915000000001, -76.580905000000001)",39.298915,-76.580905,McElderryPark
216,E Madison St and N Glover St,612,Monument,"(39.299996999999998, -76.580263000000002)",39.299997,-76.580263,McElderryPark
217,E Monument St and N Lakewood Ave,613,Monument,"(39.298966, -76.579492999999999)",39.298966,-76.579493,McElderryPark
218,McElderry St and N Belnord Ave,614,Monument,"(39.297950614048887, -76.578631103038788)",39.29795061404889,-76.57863110303879,McElderryPark
219,E Monument St and N Kenwood Ave,615,Monument,"(39.299028999999997, -76.578085000000002)",39.299029,-76.578085,McElderryPark
220,E Madison St and N Streeper St,616,Monument,"(39.300113000000003, -76.577437000000003)",39.300113,-76.577437,McElderryPark
221,McElderry St and N Linwood Ave,617,Monument,"(39.297907025134357, -76.57646656036377)",39.29790702513436,-76.57646656036377,EllwoodPark/Monument
222,E Monument St and N Curley St,618,Monument,"(39.299112000000001, -76.575962000000004)",39.299112,-76.575962,Baltimore-Linwood
223,McElderry St and N Potomac St,619,Monument,"(39.298065813192402, -76.575066447257996)",39.2980658131924,-76.575066447258,EllwoodPark/Monument
224,E Monument St and Decker,620,Monument,"(39.299093256600003, -76.574417352699996)",39.2990932566,-76.5744173527,McElderryPark
225,E Madison St and N Ellwood Ave,621,Monument,"(39.300243000000002, -76.573908000000003)",39.300243,-76.573908,EllwoodPark/Monument
226,E Monument St and N Robinson St,622,Monument,"(39.299225, -76.573121)",39.299225,-76.573121,EllwoodPark/Monument
227,E Madison St and N Curley St,623,Monument,"(39.300151, -76.576040000000006)",39.300151,-76.57604,EllwoodPark/Monument
228,McElderry St and N Robinson St,624,Monument,"(39.298040905285539, -76.573086977005005)",39.29804090528554,-76.573086977005,EllwoodPark/Monument
229,Milton St and E Biddle St,625,Monument,"(39.304777000000001, -76.582694000000004)",39.304777,-76.582694,EastBiddleStreet
230,Montford St and Ashland Ave,626,Monument,"(39.300884552380921, -76.584317046748225)",39.30088455238092,-76.58431704674823,McElderryPark
231,N Collington St and E Jefferson St,627,Monument,"(39.296416312853111, -76.586668586782082)",39.29641631285311,-76.58666858678208,McElderryPark
232,E Jefferson St and N Glover St,628,Monument,"(39.296763545127817, -76.579963795700948)",39.29676354512782,-76.57996379570095,McElderryPark
233,Thomas Ave and Presbury St,701,North Ave West,"(39.307524000000001, -76.658071000000007)",39.307524,-76.658071,BridgeView/Greenlawn
234,Thomas Ave and Westwood Ave,702,North Ave West,"(39.308432000000003, -76.658114999999995)",39.308432,-76.658115,BridgeView/Greenlawn
235,W North Ave and Thomas Ave,703,North Ave West,"(39.309430999999996, -76.658180000000002)",39.309431,-76.65818,Panway/BraddishAvenue
236,N Warwick Ave and Westwood Ave,704,North Ave West,"(39.308489000000002, -76.657154000000006)",39.308489,-76.657154,BridgeView/Greenlawn
237,Moreland Ave and Westwood Ave,705,North Ave West,"(39.308514000000002, -76.655912000000001)",39.308514,-76.655912,Easterwood
238,W North Ave and Moreland Ave,706,North Ave West,"(39.309508000000001, -76.655994000000007)",39.309508,-76.655994,Baltimore
239,N Bentalou St and Westwood Ave,707,North Ave West,"(39.308598000000003, -76.654071000000002)",39.308598,-76.654071,Easterwood
240,N Smallwood St and Westwood Ave,708,North Ave West,"(39.308666000000002, -76.652665999999996)",39.308666,-76.652666,Mondawmin
241,W North Ave and N Smallwood St,709,North Ave West,"(39.309612999999999, -76.652711999999994)",39.309613,-76.652712,NorthSmallwoodStreet
242,N Smallwood St and Ridgehill Ave,710,North Ave West,"(39.311245, -76.652804000000003)",39.311245,-76.652804,Mondawmin
243,N Pulaski St and Westwood Ave,711,North Ave West,"(39.308694000000003, -76.651258999999996)",39.308694,-76.651259,Easterwood
244,W North Ave and N Pulaski St,712,North Ave West,"(39.30968, -76.651338999999993)",39.30968,-76.651339,WestNorthAvenue
245,N Pulaski St and Herbert St,713,North Ave West,"(39.310218999999996, -76.651375999999999)",39.310219,-76.651376,Mondawmin
246,N Pulaski St and Walbrook Ave,714,North Ave West,"(39.310763000000001, -76.651397000000003)",39.310763,-76.651397,Mondawmin
247,W North Ave and N Payson St,715,North Ave West,"(39.309730000000002, -76.649921000000006)",39.30973,-76.649921,Easterwood
248,N Payson St and Herbert St,716,North Ave West,"(39.310392, -76.649955000000006)",39.310392,-76.649955,Easterwood
249,N Payson St and Walbrook Ave,717,North Ave West,"(39.310831, -76.649987999999993)",39.310831,-76.649988,Mondawmin
250,N Payson St and Ridgehill Ave,718,North Ave West,"(39.311579999999999, -76.650011000000006)",39.31158,-76.650011,Easterwood
251,Appleton St and Westwood Ave,719,North Ave West,"(39.308785, -76.648995999999997)",39.308785,-76.648996,Easterwood
252,N Monroe St and Westwood Ave,720,North Ave West,"(39.308812000000003, -76.648123999999996)",39.308812,-76.648124,Easterwood
253,W North Ave and N Monroe St,721,North Ave West,"(39.309812999999998, -76.648179999999996)",39.309813,-76.64818,Easterwood
254,N Monroe St and Walbrook Ave,722,North Ave West,"(39.310882999999997, -76.648236999999995)",39.310883,-76.648237,Mondawmin
255,N Fulton Ave and Westwood Ave,723,North Ave West,"(39.308852999999999, -76.646458999999993)",39.308853,-76.646459,Easterwood
256,W North Ave and N Fulton Ave,724,North Ave West,"(39.309888999999998, -76.646518)",39.309889,-76.646518,Easterwood
257,N Fulton Ave and Walbrook Ave,725,North Ave West,"(39.310847589188782, -76.646633148193359)",39.31084758918878,-76.64663314819336,PennNorth
258,N Mount St and Westwood Ave,726,North Ave West,"(39.308892999999998, -76.644946000000004)",39.308893,-76.644946,GilmorHomes
259,W North Ave and N Carey St,727,North Ave West,"(39.310023999999999, -76.643720000000002)",39.310024,-76.64372,PennNorth
260,W North Ave and Pennsylvania Ave,728,North Ave West,"(39.309890878794228, -76.642392575740814)",39.30989087879423,-76.64239257574081,PennsylvaniaAvenue
261,Cumberland St and N Calhoun St,729,North Ave West,"(39.308031, -76.643488888899995)",39.308031,-76.6434888889,PennNorth
262,Cumberland St and Pennsylvania Ave,730,North Ave West,"(39.309211212161479, -76.641625463962555)",39.30921121216148,-76.64162546396255,PennNorth
263,W North Ave and Division St,731,North Ave West,"(39.310153, -76.640912)",39.310153,-76.640912,PennNorth
264,Whitelock St and Woodbrook Ave,732,North Ave West,"(39.310515000000002, -76.641210000000001)",39.310515,-76.64121,PennNorth
265,Etting St and Whitelock St,733,North Ave West,"(39.310861000000003, -76.640703999999999)",39.310861,-76.640704,PennNorth
266,Whitelock St and Francis St,734,North Ave West,"(39.311185000000002, -76.640141)",39.311185,-76.640141,PennNorth
267,Druid Hill Ave and Whitelock St,735,North Ave West,"(39.311560444069663, -76.639295965433121)",39.31156044406966,-76.63929596543312,SugarHill
268,W North and Bentalou St,737,North Ave West,"(39.309501617701322, -76.653885044455293)",39.30950161770132,-76.6538850444553,WestNorthAvenue
269,W North Ave and McCulloh St,742,North Ave West,"(39.310319, -76.636985999999993)",39.310319,-76.636986,SugarHill
270,Reisterstown Rd and Keyworth Ave,801,Park Heights,"(39.33267, -76.663122000000001)",39.33267,-76.663122,ParkCircle
271,Reisterstown Rd and Shirley Ave,802,Park Heights,"(39.333872999999997, -76.664030999999994)",39.333873,-76.664031,ParkCircle
272,Towonda Ave and Oswego Ave,803,Park Heights,"(39.334465470898927, -76.665989309549332)",39.33446547089893,-76.66598930954933,EastArlington
273,Reisterstown Rd and Grantley Ave,804,Park Heights,"(39.337570999999997, -76.666883999999996)",39.337571,-76.666884,ParkCircle
274,Boarman Ave and Willowdale Ave,805,Park Heights,"(39.337273000000003, -76.669476000000003)",39.337273,-76.669476,EastArlington
275,Park Heights Ave and W Garrison Ave,806,Park Heights,"(39.347399273677432, -76.673582643270493)",39.34739927367743,-76.67358264327049,CentralParkHeights
276,Reisterstown Rd and Laporte St,807,Park Heights,"(39.339444999999998, -76.668406000000004)",39.339445,-76.668406,LangstonHughes
277,Reisterstown Rd and St Ambrose Ave,808,Park Heights,"(39.340273013265822, -76.671485155820847)",39.34027301326582,-76.67148515582085,LangstonHughes
278,W Belvedere Ave and Litchfield Ave,809,Park Heights,"(39.346305000000001, -76.680280999999994)",39.346305,-76.680281,Arlington
279,Park Heights Ave and Woodland,810,Park Heights,"(39.345194999999997, -76.671400000000006)",39.345195,-76.6714,CentralParkHeights
280,W Garrison Ave and Denmore Ave,811,Park Heights,"(39.346727999999999, -76.674801000000002)",39.346728,-76.674801,CentralParkHeights
281,W Garrison Ave and Palmer Ave,812,Park Heights,"(39.348089000000002, -76.672387000000001)",39.348089,-76.672387,CentralParkHeights
282,Pimlico Rd and Sumter Ave,813,Park Heights,"(39.342396999999998, -76.666713999999999)",39.342397,-76.666714,CentralParkHeights
283,Pimlico Rd and W Cold Spring Ln,814,Park Heights,"(39.340200408998818, -76.665105521678925)",39.34020040899882,-76.66510552167892,Parklane
284,Quantico Ave and Pimlico Rd,815,Park Heights,"(39.337417000000002, -76.662932999999995)",39.337417,-76.662933,Greenspring
285,Pimlico Rd and Loyola Northway,816,Park Heights,"(39.338539825106103, -76.663619577884674)",39.3385398251061,-76.66361957788467,PimlicoRoad
286,Pimlico Rd and Rosewood Ave,817,Park Heights,"(39.338999000000001, -76.663973999999996)",39.338999,-76.663974,Greenspring
287,Winner Ave and Avondale Ave,818,Park Heights,"(39.352872860050837, -76.677682399749756)",39.35287286005084,-76.67768239974976,Pimlico
288,Park Heights Ave and Hayward Ave,819,Park Heights,"(39.350004414106863, -76.678873300552368)",39.35000441410686,-76.67887330055237,Arlington
289,Park Heights Ave and Rogers,820,Park Heights,"(39.351854502630033, -76.683323085308075)",39.35185450263003,-76.68332308530807,Pimlico
290,Park Heights Ave and Manhattan Ave,821,Park Heights,"(39.353014931138532, -76.685236841440201)",39.35301493113853,-76.6852368414402,Glen
291,Park Heights Ave and Glen Ave,822,Park Heights,"(39.355662378191383, -76.688167154788971)",39.35566237819138,-76.68816715478897,Glen
292,Park Heights Ave and Taney,823,Park Heights,"(39.357404474299997, -76.691223531999995)",39.3574044743,-76.691223532,Glen
293,Park Heights Ave and W Strathmore Ave,824,Park Heights,"(39.358776344382562, -76.693901717662811)",39.35877634438256,-76.69390171766281,Glen
294,Park Heights Ave and Fords Ln,825,Park Heights,"(39.360161667345743, -76.696571856737137)",39.36016166734574,-76.69657185673714,CrossCountry
295,Park Heights Ave and Clarks Ln,826,Park Heights,"(39.362361951686736, -76.699659079313278)",39.36236195168674,-76.69965907931328,CrossCountry
296,Park Heights Ave and Fallstaff Rd,827,Park Heights,"(39.364946834328506, -76.702818721532822)",39.36494683432851,-76.70281872153282,Fallstaff
297,Park Heights Ave and W Belvedere Ave,828,Park Heights,"(39.348869862497963, -76.675850450992584)",39.34886986249796,-76.67585045099258,CentralParkHeights
298,Park Heights Ave and Virginia Ave,829,Park Heights,"(39.344110560038978, -76.67046993970871)",39.34411056003898,-76.67046993970871,CentralParkHeights
299,Park Heights Ave and Wiley Ave,830,Park Heights,"(39.341017721250637, -76.667569130659103)",39.34101772125064,-76.6675691306591,CentralParkHeights
300,Park Heights Ave and Oswego Ave,831,Park Heights,"(39.335630000000002, -76.66328)",39.33563,-76.66328,ParkCircle
301,Park Heights Ave and Trainor Ave(JCC),832,Park Heights,"(39.353895350633891, -76.686284244060516)",39.35389535063389,-76.68628424406052,Glen
302,Park Heights Ave and Trainor Ave,833,Park Heights,"(39.354996637140353, -76.68757438659668)",39.35499663714035,-76.68757438659668,Glen
303,Park Heights Ave and Menlo Dr,834,Park Heights,"(39.356444252882831, -76.689694672822952)",39.35644425288283,-76.68969467282295,Glen
304,Park Heights Ave and Pinkney Rd,835,Park Heights,"(39.358184255604137, -76.692777872085571)",39.35818425560414,-76.69277787208557,Glen
305,Park Heights Ave and W Strathmore Ave,836,Park Heights,"(39.359001357541032, -76.694333553314209)",39.35900135754103,-76.69433355331421,Glen
306,Park Heights Ave and Bancroft Rd,837,Park Heights,"(39.360900978911133, -76.697849929332733)",39.36090097891113,-76.69784992933273,CrossCountry
307,Park Heights Ave and NBancroft Rd,838,Park Heights,"(39.361738786766793, -76.698879897594452)",39.36173878676679,-76.69887989759445,CrossCountry
308,3500 Northern Pkwy (E&T),839,Park Heights,"(39.353595258045338, -76.684169673767315)",39.35359525804534,-76.68416967376731,Pimlico
309,Park Heights Ave and Oakford Ave,840,Park Heights,"(39.340351364702592, -76.666938371828593)",39.34035136470259,-76.66693837182859,Parklane
310,W North Ave and Bloomingdale Rd,901,Southwest District,"(39.308965000000001, -76.671139999999994)",39.308965,-76.67114,Walbrook
311,W North Ave and N Rosedale St,902,Southwest District,"(39.309002, -76.669337999999996)",39.309002,-76.669338,Walbrook
312,W North Ave and N Longwood St,903,Southwest District,"(39.309078999999997, -76.667563000000001)",39.309079,-76.667563,Walbrook
313,W North Ave and Poplar Grove St,904,Southwest District,"(39.309231965438812, -76.665668785572052)",39.30923196543881,-76.66566878557205,Walbrook
314,W North Ave and N Dukeland St,905,Southwest District,"(39.309212000000002, -76.664032000000006)",39.309212,-76.664032,Walbrook
315,W North Ave and Braddish Ave,906,Southwest District,"(39.309311000000001, -76.661154999999994)",39.309311,-76.661155,Baltimore
316,Westwood Ave (Dead End),907,Southwest District,"(39.308177691165163, -76.664770245552063)",39.30817769116516,-76.66477024555206,Rosemont
317,N Rosedale St and Grayson St,908,Southwest District,"(39.306477999999998, -76.669179)",39.306478,-76.669179,Rosemont
318,Poplar Grove St and Presbury St,909,Southwest District,"(39.307158682628923, -76.665568202733994)",39.30715868262892,-76.665568202734,Winchester
319,Baker St and N Dukeland St,910,Southwest District,"(39.306043000000003, -76.663825000000003)",39.306043,-76.663825,GilmorHomes
320,Bloomingdale Rd and Brighton St,911,Southwest District,"(39.305242, -76.667005000000003)",39.305242,-76.667005,Winchester
321,Poplar Grove St and Pressman St,912,Southwest District,"(39.304660907503369, -76.665592342615128)",39.30466090750337,-76.66559234261513,Winchester
322,Bloomingdale Rd and Belmont Ave,913,Southwest District,"(39.303537035276207, -76.666169017553329)",39.30353703527621,-76.66616901755333,Winchester
323,N Rosedale St and Normount Ct,914,Southwest District,"(39.302957999999997, -76.668977999999996)",39.302958,-76.668978,Rosemont
324,Winchester St and N Longwood St,915,Southwest District,"(39.301316, -76.667342000000005)",39.301316,-76.667342,FranklintownRoad
325,Bloomingdale Rd and Ellicott Driveway,916,Southwest District,"(39.302175496456357, -76.665651351213455)",39.30217549645636,-76.66565135121346,Winchester
326,Ellicott Driveway and N Dukeland St,917,Southwest District,"(39.30243390029608, -76.66352704167366)",39.30243390029608,-76.66352704167366,Winchester
327,Poplar Grove St and Riggs Ave,918,Southwest District,"(39.300189179671143, -76.665129661560059)",39.30018917967114,-76.66512966156006,Winchester
328,Mosher St and N Dukeland St,919,Southwest District,"(39.299255000000002, -76.663437000000002)",39.299255,-76.663437,Mosher
329,Poplar Grove St and W Lafayette Ave,920,Southwest District,"(39.297976559818473, -76.665206104516983)",39.29797655981847,-76.66520610451698,FranklintownRoad
330,N Franklintown Rd and N Longwood St,921,Southwest District,"(39.296934999999998, -76.666835000000006)",39.296935,-76.666835,FranklintownRoad
331,Poplar Grove St and Rayner Ave,922,Southwest District,"(39.296185241301409, -76.66509747505188)",39.29618524130141,-76.66509747505188,Winchester
332,Poplar Grove St and Edmonson Ave,923,Southwest District,"(39.294520498647252, -76.664807796478271)",39.29452049864725,-76.66480779647827,Mosher
333,Edmonson Ave and Braddish Ave,924,Southwest District,"(39.294743642883837, -76.659277081489563)",39.29474364288384,-76.65927708148956,Mosher
334,Edmonson Ave and N Warwick Ave,925,Southwest District,"(39.294821483729272, -76.656215339899063)",39.29482148372927,-76.65621533989906,Mosher
335,Edmonson Ave and Denison St,926,Southwest District,"(39.294188375675823, -76.674053370952606)",39.29418837567582,-76.6740533709526,Allendale
336,Edmonson Ave and Swan Ave,927,Southwest District,"(39.293488836513561, -76.693826615810394)",39.29348883651356,-76.6938266158104,RognelHeights
337,Edmonson Ave and N Loudon Ave,928,Southwest District,"(39.293879084741981, -76.682463437318802)",39.29387908474198,-76.6824634373188,EdmondsonVillage
338,Edmonson Ave and Allendale St,929,Southwest District,"(39.294061753378138, -76.678285896778107)",39.29406175337814,-76.6782858967781,Allendale
339,N Rosedale St and Brighton St,930,Southwest District,"(39.304449753980592, -76.668744746696802)",39.30444975398059,-76.6687447466968,Rosemont
340,Riggs Ave and Dukeland St,931,Southwest District,"(39.30051054141488, -76.664808250587782)",39.30051054141488,-76.66480825058778,Winchester
341,Riggs Ave and Braddish Ave,932,Southwest District,"(39.300825609370811, -76.664776017663257)",39.30082560937081,-76.66477601766326,Winchester
342,W Pratt St and S Stricker St,1001,Tri-District,"(39.285454000000001, -76.640803000000005)",39.285454,-76.640803,MountClare
343,McHenry St and Stricker St,1002,Tri-District,"(39.284448169100003, -76.640737652799999)",39.2844481691,-76.6407376528,MountClare
344,S Stricker St and Ramsay St,1003,Tri-District,"(39.283346000000002, -76.640686000000002)",39.283346,-76.640686,MountClare
345,S Parrish St and McHenry St,1004,Tri-District,"(39.284448169100003, -76.641437709300007)",39.2844481691,-76.6414377093,MountClare
346,S Parrish St and Ramsay St,1005,Tri-District,"(39.283307999999998, -76.641401000000002)",39.283308,-76.641401,MountClare
347,McHenry St and S Gilmor St,1006,Tri-District,"(39.284400419603813, -76.642113626003265)",39.28440041960381,-76.64211362600327,MountClare
348,S Gilmor St and Ramsay St,1007,Tri-District,"(39.283275184067982, -76.642089486122131)",39.28327518406798,-76.64208948612213,MountClare
349,W Pratt St and S Mount St,1008,Tri-District,"(39.285320109761699, -76.643621027469635)",39.2853201097617,-76.64362102746964,MountClare
350,McHenry St and S Mount St,1009,Tri-District,"(39.284365126512903, -76.643553972244263)",39.2843651265129,-76.64355397224426,MountClare
351,S Mount St and Ramsay St,1010,Tri-District,"(39.283258575290013, -76.643511056900024)",39.28325857529001,-76.64351105690002,Maryland
352,W Pratt St and S Fulton Ave,1011,Tri-District,"(39.285251000000002, -76.645048000000003)",39.285251,-76.645048,CarrolltonRidge
353,S Fulton St and McHenry St,1012,Tri-District,"(39.284333985535561, -76.644980907440186)",39.28433398553556,-76.64498090744019,FranklinSquare
354,Wilhelm St and S Fulton Ave,1013,Tri-District,"(39.283769999999997, -76.644948999999997)",39.28377,-76.644949,CarrolltonRidge
355,Ramsay St and S Fulton Ave,1014,Tri-District,"(39.283206672833437, -76.644911170005798)",39.28320667283344,-76.6449111700058,FranklinSquare
356,McHenry St and S Addison St,1015,Tri-District,"(39.284306996677337, -76.645788252353668)",39.28430699667734,-76.64578825235367,CarrolltonRidge
357,W Pratt St and S Monroe St,1016,Tri-District,"(39.285175000000002, -76.646775000000005)",39.285175,-76.646775,CarrolltonRidge
358,S Monroe St and Wilhelm St,1017,Tri-District,"(39.283693999999997, -76.646686111099996)",39.283694,-76.6466861111,CarrolltonRidge
359,S Monroe St and Ramsay St,1018,Tri-District,"(39.283147, -76.646665999999996)",39.283147,-76.646666,CarrolltonRidge
360,S Payson St and McHenry St,1019,Tri-District,"(39.284199041140461, -76.648443639278412)",39.28419904114046,-76.64844363927841,CarrolltonRidge
361,S Payson St and Ramsay St,1020,Tri-District,"(39.283082, -76.648398999999998)",39.283082,-76.648399,CarrolltonRidge
362,S Payson St and Ashton St,1021,Tri-District,"(39.282814999999999, -76.648392999999999)",39.282815,-76.648393,CarrolltonRidge
363,S Pulaski St and McHenry,1022,Tri-District,"(39.284172052199999, -76.649824976900007)",39.2841720522,-76.6498249769,CarrolltonRidge
364,S Pulaski St and Wilhelm St,1023,Tri-District,"(39.283599054451308, -76.649784743785858)",39.28359905445131,-76.64978474378586,CarrolltonRidge
365,S Pulaski St and Ramsay St,1024,Tri-District,"(39.283009, -76.649782999999999)",39.283009,-76.649783,CarrolltonRidge
366,S Pulaski St and Ashton St,1025,Tri-District,"(39.282387, -76.649771999999999)",39.282387,-76.649772,CarrolltonRidge
367,S Smallwood St and Ramsay St,1026,Tri-District,"(39.28293, -76.651205000000004)",39.28293,-76.651205,CarrolltonRidge
368,Smallwood and Ashton,1027,Tri-District,"(39.281931999999998, -76.651190999999997)",39.281932,-76.651191,CarrolltonRidge
369,W Pratt St and S Carey St,1028,Tri-District,"(39.285587, -76.637984000000003)",39.285587,-76.637984,MountClare
370,Lombard and Carrolton,1029,Tri-District,"(39.286544583008506, -76.63597502223854)",39.28654458300851,-76.63597502223854,HollinsMarket
371,Pennsylvania Ave and Baker St,1101,Pennsylvania Ave,"(39.308384151367143, -76.639434413067562)",39.30838415136714,-76.63943441306756,
372,N Carey St and Baker St,1102,Pennsylvania Ave,"(39.307995475867422, -76.640250552088872)",39.30799547586742,-76.64025055208887,
373,Pennsylvania Ave and Gold St,1103,Pennsylvania Ave,"(39.308384151367143, -76.639434413067562)",39.30838415136714,-76.63943441306756,
374,Pennsylvania Ave and Bloom St,1104,Pennsylvania Ave,"(39.306656185290649, -76.637159267198228)",39.30665618529065,-76.63715926719823,
375,N Fremont Ave and Presstman St,1105,Pennsylvania Ave,"(39.305111763845701, -76.635565546719363)",39.3051117638457,-76.63556554671936,
376,Pennsylvania Ave and Presstman St,1106,Pennsylvania Ave,"(39.305111763845701, -76.635565546719363)",39.3051117638457,-76.63556554671936,
377,Division St and Presstman St,1107,Pennsylvania Ave,"(39.306200443138053, -76.637228893298399)",39.30620044313805,-76.6372288932984,
378,Division St and Robert St,1108,Pennsylvania Ave,"(39.305111763845701, -76.635565546719363)",39.3051117638457,-76.63556554671936,
379,Pennsylvania Ave and Robert St,1109,Pennsylvania Ave,"(39.305111763845701, -76.635565546719363)",39.3051117638457,-76.63556554671936,
380,N Fremont Ave and Robert St,1110,Pennsylvania Ave,"(39.305111763845701, -76.635565546719363)",39.3051117638457,-76.63556554671936,
381,Division St and Laurens St,1111,Pennsylvania Ave,"(39.304809930868302, -76.635305211615744)",39.3048099308683,-76.63530521161574,
