,cameraLocation,cameraNumber,cameraProject,Location 1,latitude,longitude,neighborhood
382,Pennsylvania Ave and Wilson St,1112,Pennsylvania Ave,"(39.303867730110362, -76.633557722093968)",39.30386773011036,-76.63355772209397,
383,Division St and Islamic Way,1113,Pennsylvania Ave,"(39.304445927259223, -76.634215355201974)",39.30444592725922,-76.63421535520197,
384,Pennsylvania Ave and Pitcher St,1114,Pennsylvania Ave,"(39.302954543048138, -76.633127656544033)",39.30295454304814,-76.63312765654403,
385,N Fremont Ave and Pitcher St,1115,Pennsylvania Ave,"(39.302954543048138, -76.633127656544033)",39.30295454304814,-76.63312765654403,
386,Mosher St and Argyle St,1116,Pennsylvania Ave,"(39.300941237258101, -76.634892536297116)",39.3009412372581,-76.63489253629712,
387,Pennsylvania Ave and Mosher St,1118,Pennsylvania Ave,"(39.302488779792881, -76.632307900736237)",39.30248877979288,-76.63230790073624,
388,Pennsylvania Ave and Mosher St,1118,Pennsylvania Ave,"(39.30259353519579, -76.632023671107888)",39.30259353519579,-76.63202367110789,
389,E North Ave and Aisquith,1201,North Ave East,"(39.311186242489399, -76.602505769708756)",39.3111862424894,-76.60250576970876,
390,E North Ave and Harford,1202,North Ave East,"(39.311423565115909, -76.600006371216125)",39.31142356511591,-76.60000637121612,
391,E North Ave and Broadway,1203,North Ave East,"(39.311777042255628, -76.595705091476162)",39.31177704225563,-76.59570509147616,
392,E North Ave and Wolfe,1204,North Ave East,"(39.312000108351818, -76.592325794941374)",39.31200010835182,-76.59232579494137,
393,E North Ave and Washington,1205,North Ave East,"(39.312068683352287, -76.591144511670251)",39.31206868335229,-76.59114451167025,
394,E North Ave and Chester,1206,North Ave East,"(39.312186330473097, -76.589700361483551)",39.3121863304731,-76.58970036148355,
395,E North Ave and Collington,1207,North Ave East,"(39.312229187516991, -76.588435452524962)",39.31222918751699,-76.58843545252496,
396,E North Ave and Belair,1208,North Ave East,"(39.312303202574391, -76.584863648659635)",39.31230320257439,-76.58486364865963,
397,E North Ave and Port,1209,North Ave East,"(39.312303202574391, -76.584863648659635)",39.31230320257439,-76.58486364865963,
398,E North Ave and Milton,1210,North Ave East,"(39.312163957974143, -76.582876963743857)",39.31216395797414,-76.58287696374386,
399,Harford and 20th,1301,Harford Rd,"(39.313487785992642, -76.599725928871052)",39.31348778599264,-76.59972592887105,
400,Harford and Broadway,1302,Harford Rd,"(39.31416178941965, -76.59886228943266)",39.31416178941965,-76.59886228943266,
401,Harford and Darley,1303,Harford Rd,"(39.315068290101223, -76.597804931181258)",39.31506829010122,-76.59780493118126,
402,Harford and Cliftview,1304,Harford Rd,"(39.315982284515293, -76.596817593295881)",39.31598228451529,-76.59681759329588,
403,Harford and 25th,1305,Harford Rd,"(39.316861084164962, -76.596463813589111)",39.31686108416496,-76.59646381358911,
404,Harford (Harbor City School),1306,Harford Rd,"(39.318459689166879, -76.594697469018016)",39.31845968916688,-76.59469746901802,
405,Harford and Montpelier,1307,Harford Rd,"(39.318459689166879, -76.594697469018016)",39.31845968916688,-76.59469746901802,
406,Harford and Homestead,1308,Harford Rd,"(39.318459689166879, -76.594697469018016)",39.31845968916688,-76.59469746901802,
407,Harford and Abbotston,1309,Harford Rd,"(39.320478594226863, -76.592769787424359)",39.32047859422686,-76.59276978742436,
408,Harford and Alameda,1310,Harford Rd,"(39.320478594226863, -76.592769787424359)",39.32047859422686,-76.59276978742436,
409,Harford and Tivoly,1311,Harford Rd,"(39.322129844480479, -76.591145882793526)",39.32212984448048,-76.59114588279353,
410,Harford and Fenwick,1312,Harford Rd,"(39.322585972163317, -76.590789523428185)",39.32258597216332,-76.59078952342819,
411,Harford and Hugo,1313,Harford Rd,"(39.323849590957131, -76.589829681328524)",39.32384959095713,-76.58982968132852,
412,Belair and Ravenwood,1401,Belair Rd,"(39.31532303105417, -76.582190468824152)",39.31532303105417,-76.58219046882415,
413,Belair and Elmora,1402,Belair Rd,"(39.316015002473243, -76.579655350693287)",39.31601500247324,-76.57965535069329,
414,Belair and Lyndale,1403,Belair Rd,"(39.315646208380038, -76.579763307694563)",39.31564620838004,-76.57976330769456,
415,Belair and Elmley,1404,Belair Rd,"(39.316651146669983, -76.578579370095468)",39.31665114666998,-76.57857937009547,
416,Belair (across from shopping center),1405,Belair Rd,"(39.318271431784339, -76.577467734275231)",39.31827143178434,-76.57746773427523,
417,Belair and Cliftmont,1406,Belair Rd,"(39.319629088210981, -76.576560273839576)",39.31962908821098,-76.57656027383958,
418,Belair and Mareco,1407,Belair Rd,"(39.320451434005207, -76.575053714978438)",39.32045143400521,-76.57505371497844,
419,Belair and Clifton Park Terrace,1408,Belair Rd,"(39.321314464994281, -76.574454905190024)",39.32131446499428,-76.57445490519002,
420,Belair and Erdman,1409,Belair Rd,"(39.32177331358092, -76.573810873579617)",39.32177331358092,-76.57381087357962,
421,Belair and Sheldon,1410,Belair Rd,"(39.328073611119592, -76.565013598755243)",39.32807361111959,-76.56501359875524,
422,Rusty Scupper,1901,Inner Harbor,"(39.281919479606877, -76.60772904753685)",39.28191947960688,-76.60772904753685,
423,Rash Field,1902,Inner Harbor,"(39.281859271602698, -76.609304845333099)",39.2818592716027,-76.6093048453331,
424,Carousel,1903,Inner Harbor,"(39.281846814767782, -76.610000878572464)",39.28184681476778,-76.61000087857246,
425,Science Center,1904,Inner Harbor,"(39.2820066773143, -76.611624956130981)",39.2820066773143,-76.61162495613098,
426,Spirit Of Baltimore,1905,Inner Harbor,"(39.285747000000001, -76.610810000000001)",39.285747,-76.61081,
427,Visitor Center,1906,Inner Harbor,"(39.284265475336689, -76.612484604120255)",39.28426547533669,-76.61248460412025,
428,Light Street Food Hall,1907,Inner Harbor,"(39.285390694963333, -76.61190927028656)",39.28539069496333,-76.61190927028656,
429,Constellation,1908,Inner Harbor,"(39.285951221980007, -76.611388921737671)",39.28595122198001,-76.61138892173767,
430,Constellation Pier,1909,Inner Harbor,"(39.285254714584973, -76.610821634531021)",39.28525471458497,-76.61082163453102,
431,Trade Center,1910,Inner Harbor,"(39.286001046386623, -76.610176563262939)",39.28600104638662,-76.61017656326294,
432,Pier 5 Hotel,1911,Inner Harbor,"(39.283756836916083, -76.606008410453796)",39.28375683691608,-76.6060084104538,
433,Pier 5 Lighthouse,1912,Inner Harbor,"(39.28337483665311, -76.605211794376373)",39.28337483665311,-76.60521179437637,
434,Pier 6 Pavillion,1913,Inner Harbor,"(39.283760999999998, -76.604619999999997)",39.283761,-76.60462,
435,Charles and Conway,1920,Federal Reserve,"(39.284298515827047, -76.614453475966073)",39.28429851582705,-76.61445347596607,
436,Sharp and Conway,1921,Federal Reserve,"(39.283978495492491, -76.617647055555054)",39.28397849549249,-76.61764705555505,
437,182 Hamburgst,1922,Federal Reserve,"(39.278279435050841, -76.61803074859877)",39.27827943505084,-76.61803074859877,
438,Pratt and Sharp,1923,Federal Reserve,"(39.286162239365261, -76.618011900419958)",39.28616223936526,-76.61801190041996,
439,Pratt and Light,1924,Federal Reserve,"(39.286269232737787, -76.613997565987503)",39.28626923273779,-76.6139975659875,
440,NE Market FoodCt,1941,Northeast Market,"(39.298141, -76.587517)",39.298141,-76.587517,
441,NE Market North,1942,Northeast Market,"(39.298141, -76.587517)",39.298141,-76.587517,
442,NE Market South,1943,Northeast Market,"(39.298141, -76.587517)",39.298141,-76.587517,
443,NE Market Middle,1944,Northeast Market,"(39.298141, -76.587517)",39.298141,-76.587517,
444,McElderry & Chester,1945,Northeast Market,"(39.297525, -76.587779999999995)",39.297525,-76.58778,
445,Avenue Market Front,1961,Avenue Market,"(39.303537, -76.635647)",39.303537,-76.635647,
446,Avenue Market Middle,1962,Avenue Market,"(39.303537, -76.635647)",39.303537,-76.635647,
447,Avenue Market Back,1963,Avenue Market,"(39.303537, -76.635647)",39.303537,-76.635647,
448,Pennsylvania and  Laurens,1964,Avenue Market,"(39.304338999999999, -76.635589999999993)",39.304339,-76.63559,
449,Fremont and Laurens,1965,Avenue Market,"(39.303421999999998, -76.636830000000003)",39.303422,-76.63683,
450,Avenue Market Parking Lot,1966,Avenue Market,"(39.303664891386482, -76.634952407020364)",39.30366489138648,-76.63495240702036,
451,Southwest Corner,1980,Hollins Market,"(39.287529, -76.635958)",39.287529,-76.635958,
452,Northwest Corner,1981,Hollins Market,"(39.287529, -76.635958)",39.287529,-76.635958,
453,Aisle Cam 1,1982,Hollins Market,"(39.287529, -76.635958)",39.287529,-76.635958,
454,Aisle Cam 2,1983,Hollins Market,"(39.287529, -76.635958)",39.287529,-76.635958,
455,Aisle Cam 3,1984,Hollins Market,"(39.287529, -76.635958)",39.287529,-76.635958,
456,Hollins St and Carrollton,1985,Hollins Market,"(39.287618999999999, -76.636679999999998)",39.287619,-76.63668,
457,Boyd St Side Entrance,1986,Hollins Market,"(39.287292560487053, -76.635222600479935)",39.28729256048705,-76.63522260047993,
458,Arlington Ave East Entrance,1987,Hollins Market,"(39.287365569154261, -76.634676307072198)",39.28736556915426,-76.6346763070722,
459,553 Dolphin St,2001,McCulloh,"(39.299709886899997, -76.628770388800007)",39.2997098869,-76.6287703888,
460,569 Dolphin St,2002,McCulloh,"(39.2994741658, -76.628246647200001)",39.2994741658,-76.6282466472,
461,520 Hoffman St,2003,McCulloh,"(39.299569032500003, -76.627819812599995)",39.2995690325,-76.6278198126,
462,517 Dolphin St,2004,McCulloh,"(39.300194856899999, -76.628212820200005)",39.3001948569,-76.6282128202,
463,534 Preston St,2005,McCulloh,"(39.2994445713, -76.627014840900003)",39.2994445713,-76.6270148409,
464,503 Dolphin St,2006,McCulloh,"(39.300440885, -76.627710906700003)",39.300440885,-76.6277109067,
465,535 Hoffman St,2007,McCulloh,"(39.299036022700001, -76.627951580900003)",39.2990360227,-76.6279515809,
466,570 Preston St,2008,McCulloh,"(39.298552511899999, -76.627312922300007)",39.2985525119,-76.6273129223,
467,556 Preston St,2009,McCulloh,"(39.298862438299999, -76.626914038199999)",39.2988624383,-76.6269140382,
468,516 Preston St,2010,McCulloh,"(39.299079561500001, -76.626522870900004)",39.2990795615,-76.6265228709,
469,514 Preston St,2011,McCulloh,"(39.299364911700003, -76.626601136299996)",39.2993649117,-76.6266011363,
470,1020 Druid Hill Rd,2012,McCulloh,"(39.299944205000003, -76.626479001500002)",39.299944205,-76.6264790015,
471,1135 Tiffany Ct,2013,McCulloh,"(39.302018245500001, -76.625956896399998)",39.3020182455,-76.6259568964,
472,1101 Tiffany Ct,2014,McCulloh,"(39.301602996699998, -76.625438251999995)",39.3016029967,-76.625438252,
473,1035 Tiffany Ct,2015,McCulloh,"(39.300995861192078, -76.625379849189699)",39.30099586119208,-76.6253798491897,
474,1001 Tiffany Ct,2016,McCulloh,"(39.300815108099997, -76.624463592400005)",39.3008151081,-76.6244635924,
475,440 Oxford Ct,2017,McCulloh,"(39.300550491700001, -76.625118487500004)",39.3005504917,-76.6251184875,
476,443 Manse Ct,2018,McCulloh,"(39.301373687800002, -76.626496719299993)",39.3013736878,-76.6264967193,
477,1134 Stoddard Ct,2019,McCulloh,"(39.3011098319, -76.627157996400001)",39.3011098319,-76.6271579964,
478,1100 Stoddard Ct,2020,McCulloh,"(39.300701899499998, -76.626653211600001)",39.3007018995,-76.6266532116,
479,1034 Stoddard Ct,2021,McCulloh,"(39.300325881200003, -76.626190746999995)",39.3003258812,-76.626190747,
480,1000 Stoddard Ct,2022,McCulloh,"(39.299891022700002, -76.625654182000005)",39.2998910227,-76.625654182,
481,442 Walton Ct,2023,McCulloh,"(39.299978103100003, -76.624747493800001)",39.2999781031,-76.6247474938,
482,900 Stoddard Ct,2024,McCulloh,"(39.2989138943, -76.624478359600005)",39.2989138943,-76.6244783596,
483,1638 Bruce Ct (rear),2101,Gilmore,"(39.307301043898839, -76.644212532490343)",39.30730104389884,-76.64421253249034,
484,1638 Bruce Ct,2102,Gilmore,"(39.307275671799999, -76.645597160999998)",39.3072756718,-76.645597161,
485,1600 Bruce Ct (rear),2103,Gilmore,"(39.307301043898839, -76.644212532490343)",39.30730104389884,-76.64421253249034,
486,1605 Bruce Ct,2104,Gilmore,"(39.307301043898839, -76.644212532490343)",39.30730104389884,-76.64421253249034,
487,1601 Bakbury Ct,2105,Gilmore,"(39.307427718714969, -76.643890288047984)",39.30742771871497,-76.64389028804798,
488,1679 Bakbury Ct,2106,Gilmore,"(39.307862028199999, -76.645106384599998)",39.3078620282,-76.6451063846,
489,1678 Mountmor Ct,2107,Gilmore,"(39.307759654714587, -76.642965181000818)",39.30775965471459,-76.64296518100082,
490,1600 Mountmor Ct,2108,Gilmore,"(39.3068001197, -76.6447164386)",39.3068001197,-76.6447164386,
491,1600 Vincent Ct,2109,Gilmore,"(39.306818836600002, -76.644299108799999)",39.3068188366,-76.6442991088,
492,1606 Vincent Ct,2110,Gilmore,"(39.3074507205, -76.644448813099999)",39.3074507205,-76.6444488131,
493,1679 Vincent Ct,2111,Gilmore,"(39.307471450870644, -76.643610028536614)",39.30747145087064,-76.64361002853661,
494,1641 Vincent Ct,2112,Gilmore,"(39.307393215899999, -76.644124656900004)",39.3073932159,-76.6441246569,
495,1600 Spray Ct,2113,Gilmore,"(39.30586749958497, -76.64405307738943)",39.30586749958497,-76.64405307738943,
496,1605-2 Spray Ct,2114,Gilmore,"(39.305785955600001, -76.644515020499995)",39.3057859556,-76.6445150205,
497,1601-8 Spray Ct,2115,Gilmore,"(39.305900989800001, -76.644091696100006)",39.3059009898,-76.6440916961,
498,1500 Pressman Ct,2116,Gilmore,"(39.305455128600002, -76.643905963899996)",39.3054551286,-76.6439059639,
499,1519 Presser Ct,2117,Gilmore,"(39.305726004100002, -76.643559925299996)",39.3057260041,-76.6435599253,
500,Prestman St and Gilmor St,2118,Gilmore,"(39.305304986490292, -76.643798951040964)",39.30530498649029,-76.64379895104096,
501,1638 Balmor Ct,2119,Gilmore,"(39.305191825999998, -76.644086363100001)",39.305191826,-76.6440863631,
502,1458 Mountmor Ct,2120,Gilmore,"(39.305247873799999, -76.6446301159)",39.3052478738,-76.6446301159,
503,1428 Mountmor Ct,2121,Gilmore,"(39.304809059500002, -76.644510936000003)",39.3048090595,-76.644510936,
504,1629 Balmor Ct (rear),2122,Gilmore,"(39.305304986490292, -76.643798951040964)",39.30530498649029,-76.64379895104096,
505,1401 Mountmor Ct,2123,Gilmore,"(39.3044347827, -76.644281285100007)",39.3044347827,-76.6442812851,
506,1639 Booker Ct,2124,Gilmore,"(39.304472998199998, -76.644048334900006)",39.3044729982,-76.6440483349,
507,1601 Booker Ct,2125,Gilmore,"(39.304574795999997, -76.643408585399996)",39.304574796,-76.6434085854,
508,1629 Lorman Ct,2126,Gilmore,"(39.304000985000002, -76.643863016300003)",39.304000985,-76.6438630163,
509,1631 Lorman Ct,2127,Gilmore,"(39.3040667402, -76.644225277199993)",39.3040667402,-76.6442252772,
510,1649 Lorman Ct,2128,Gilmore,"(39.303959339698046, -76.643873696150877)",39.30395933969805,-76.64387369615088,
511,1658 Delano Ct,2129,Gilmore,"(39.303491577820743, -76.643880475942325)",39.30349157782074,-76.64388047594232,
512,1628 Delano Ct,2130,Gilmore,"(39.303760068300001, -76.643845530500002)",39.3037600683,-76.6438455305,
513,1600 Delano Ct,2131,Gilmore,"(39.303491577820743, -76.643880475942325)",39.30349157782074,-76.64388047594232,
514,1521 Mountmor Ct,2132,Gilmore,"(39.30729341320874, -76.644573904997316)",39.30729341320874,-76.64457390499732,
515,800 Abbott Ct,2201,Latrobe,"(39.301252981099999, -76.606166438399995)",39.3012529811,-76.6061664384,
516,856 Abbott Ct,2202,Latrobe,"(39.301329715000001, -76.6050176161)",39.301329715,-76.6050176161,
517,818 Webb Ct,2203,Latrobe,"(39.301008857200003, -76.605686922800004)",39.3010088572,-76.6056869228,
518,800 McAleer Ct,2204,Latrobe,"(39.3002994414, -76.605957631400003)",39.3002994414,-76.6059576314,
519,834 McAleer Ct,2205,Latrobe,"(39.300311914200002, -76.605297114799995)",39.3003119142,-76.6052971148,
520,864 McAleer Ct,2206,Latrobe,"(39.300041873700003, -76.604740619899999)",39.3000418737,-76.6047406199,
521,831 McAleer Ct,2207,Latrobe,"(39.299977143500001, -76.6052816304)",39.2999771435,-76.6052816304,
522,859 Homewood Ave,2208,Latrobe,"(39.299950172099997, -76.605899537599996)",39.2999501721,-76.6058995376,
523,820 Hillman Ct,2209,Latrobe,"(39.299387499600002, -76.605709727499999)",39.2993874996,-76.6057097275,
524,819 Hillman Ct,2210,Latrobe,"(39.299349693300002, -76.606075805900005)",39.2993496933,-76.6060758059,
525,819 Homewood Ave,2211,Latrobe,"(39.301308069100003, -76.604304248700004)",39.3013080691,-76.6043042487,
526,916 Webb Ct,2212,Latrobe,"(39.300778553999997, -76.603732930299998)",39.300778554,-76.6037329303,
527,921 Webb Ct,2213,Latrobe,"(39.300437637400002, -76.604302853899995)",39.3004376374,-76.6043028539,
528,922 Ashland Ct,2214,Latrobe,"(39.300222632100002, -76.603784759600003)",39.3002226321,-76.6037847596,
529,859 McAleer Ct,2215,Latrobe,"(39.299822194800001, -76.604397336999995)",39.2998221948,-76.604397337,
530,943 Wilmot Ct,2216,Latrobe,"(39.299207368099999, -76.603901042800004)",39.2992073681,-76.6039010428,
531,1000 Abbott Ct,2217,Latrobe,"(39.3013607878, -76.602739491299999)",39.3013607878,-76.6027394913,
532,1101 Webb Ct,2218,Latrobe,"(39.300600819000003, -76.602714787799997)",39.300600819,-76.6027147878,
533,1000 Ashland Ct,2219,Latrobe,"(39.300271800099999, -76.602871424200004)",39.3002718001,-76.6028714242,
534,1020 McAleer Ct,2220,Latrobe,"(39.299868547199999, -76.603117526099993)",39.2998685472,-76.6031175261,
535,1001 McAleer Ct,2221,Latrobe,"(39.299715513499997, -76.603547252499993)",39.2997155135,-76.6035472525,
536,1116 McAleer Ct,2222,Latrobe,"(39.300148589199999, -76.602135833000006)",39.3001485892,-76.602135833,
537,1130 McAleer Ct,2223,Latrobe,"(39.299909153199998, -76.602239340200001)",39.2999091532,-76.6022393402,
538,1101 Wilmot Ct,2224,Latrobe,"(39.299287831299999, -76.602728710899996)",39.2992878313,-76.6027287109,
539,901 Valley Ct,2225,Latrobe,"(39.300227999999997, -76.604705999999993)",39.300228,-76.604706,
540,901 Valley Ct,2226,Latrobe,"(39.300227999999997, -76.604705999999993)",39.300228,-76.604706,
541,901 McAleer Ct,2227,Latrobe,"(39.29965, -76.604635999999999)",39.29965,-76.604636,
542,200 Spring Ct,2301,Perkins,"(39.288974239799998, -76.598313985600001)",39.2889742398,-76.5983139856,
543,299 Spring Ct,2302,Perkins,"(39.287503727000001, -76.598044038200001)",39.287503727,-76.5980440382,
544,264 Ballou Ct,2303,Perkins,"(39.2880273743, -76.597513632100004)",39.2880273743,-76.5975136321,
545,229 Ballou Ct,2304,Perkins,"(39.288607452299999, -76.597212806200005)",39.2886074523,-76.5972128062,
546,269 Dallas Ct,2305,Perkins,"(39.288149116, -76.596439407899993)",39.288149116,-76.5964394079,
547,231 Mason Ct,2306,Perkins,"(39.288642230000001, -76.595773403099997)",39.28864223,-76.5957734031,
548,299 Mason Ct,2307,Perkins,"(39.2876245462, -76.595752986899996)",39.2876245462,-76.5957529869,
549,295 Mason Ct,2308,Perkins,"(39.2876798677, -76.595630791100007)",39.2876798677,-76.5956307911,
550,200 Herring Ct,2309,Perkins,"(39.289112821300002, -76.595016511099999)",39.2891128213,-76.5950165111,
551,270 Herring Ct,2310,Perkins,"(39.2880371173, -76.595337532200006)",39.2880371173,-76.5953375322,
552,299 Herring Ct,2311,Perkins,"(39.2876651606, -76.594826320099997)",39.2876651606,-76.5948263201,
553,354 Spring Ct,2312,Perkins,"(39.286491394700001, -76.598156452799998)",39.2864913947,-76.5981564528,
554,Community Building,2313,Perkins,"(39.286951707900002, -76.597738824900006)",39.2869517079,-76.5977388249,
555,1413 Gough St,2314,Perkins,"(39.287355871700001, -76.597432644899996)",39.2873558717,-76.5974326449,
556,319 Ballou Ct,2315,Perkins,"(39.287110948600002, -76.597126314299999)",39.2871109486,-76.5971263143,
557,330 Ballou Ct,2316,Perkins,"(39.2868832013, -76.597370629099998)",39.2868832013,-76.5973706291,
558,326 Dallas Ct,2317,Perkins,"(39.287014668899999, -76.596626179500007)",39.2870146689,-76.5966261795,
559,336 Mason Ct,2318,Perkins,"(39.2868506334, -76.596044637199995)",39.2868506334,-76.5960446372,
560,329 Mason Ct,2319,Perkins,"(39.286979638600002, -76.5957165457)",39.2869796386,-76.5957165457,
561,326 Herring Ct,2320,Perkins,"(39.287065456100002, -76.595261173699996)",39.2870654561,-76.5952611737,
562,231 Orleans St,2401,PVG,"(39.294578571199999, -76.604043038100002)",39.2945785712,-76.6040430381,
563,310 Forrest St,2402,PVG,"(39.294542796099996, -76.603084520500005)",39.2945427961,-76.6030845205,
564,1110 New Hope Cir,2403,PVG,"(39.293739504800001, -76.601852599500006)",39.2937395048,-76.6018525995,
565,1021 New Hope Cir,2404,PVG,"(39.293245954500001, -76.602703800300006)",39.2932459545,-76.6027038003,
566,1008 New Hope Cir,2405,PVG,"(39.293911856299999, -76.603234208499998)",39.2939118563,-76.6032342085,
567,1124 Colvin St,2406,PVG,"(39.292945798600002, -76.601830969000005)",39.2929457986,-76.601830969,
568,215 Saint Mathews St,2407,PVG,"(39.293632188799997, -76.603893050799996)",39.2936321888,-76.6038930508,
569,1100 Colvin St,2408,PVG,"(39.292618239699998, -76.603336866999996)",39.2926182397,-76.603336867,
570,SE Corner of N Tot Lot,2409,PVG,"(39.294234879599998, -76.602139996199995)",39.2942348796,-76.6021399962,
571,NW Corner of S Tot Lot,2410,PVG,"(39.293295260000001, -76.602212902399998)",39.29329526,-76.6022129024,
572,SE Corner of W Tot Lot,2411,PVG,"(39.2930222098, -76.603181076499993)",39.2930222098,-76.6031810765,
573,Courtyard Play Area,2412,PVG,"(39.293431252600001, -76.601326081699995)",39.2934312526,-76.6013260817,
574,NE Elderly Bldg Central Ave,2413,PVG,"(39.293473126199999, -76.600139368300006)",39.2934731262,-76.6001393683,
575,NE Community Center,2414,PVG,"(39.293917434000001, -76.601228335399995)",39.293917434,-76.6012283354,
576,SE Elderly Bldg CentralAve,2415,PVG,"(39.292853416200003, -76.600115942800002)",39.2928534162,-76.6001159428,
577,SW Elderly Bldg FayetteSt,2416,PVG,"(39.292815763599997, -76.600696993599996)",39.2928157636,-76.6006969936,
578,Elderly Bldg Court Yard,2417,PVG,"(39.293000499400002, -76.600684489599999)",39.2930004994,-76.6006844896,
579,Youth Center Fayette St,2418,PVG,"(39.291816666700001, -76.602983333300003)",39.2918166667,-76.6029833333,
580,Daycare Center 1106 Fayette St,2419,PVG,"(39.292033634399999, -76.602226701899994)",39.2920336344,-76.6022267019,
581,Daycare Center Play Area,2420,PVG,"(39.292481495899999, -76.601997844699994)",39.2924814959,-76.6019978447,
582,NW Senior Center,2421,PVG,"(39.2934769883, -76.600734129800003)",39.2934769883,-76.6007341298,
583,Greenmount and Madison,2501,Dept of Corrections,"(39.300040108901513, -76.608037511051066)",39.30004010890151,-76.60803751105107,
584,Madison and Constitution,2502,Dept of Corrections,"(39.29889728324023, -76.609951448853508)",39.29889728324023,-76.60995144885351,
585,Monument and Fallsway,2503,Dept of Corrections,"(39.297164133589519, -76.610634628978289)",39.29716413358952,-76.61063462897829,
586,Eager St (Widows Peak),2504,Dept of Corrections,"(39.30137500901742, -76.609774318474194)",39.30137500901742,-76.6097743184742,
587,Warden St Lot,2505,Dept of Corrections,"(39.301928097661524, -76.61026027300305)",39.30192809766152,-76.61026027300305,
588,Fallsway and Eager,2506,Dept of Corrections,"(39.300916139855531, -76.611037617352324)",39.30091613985553,-76.61103761735232,
589,JFX South,2507,Dept of Corrections,"(39.300441691635839, -76.61106079564594)",39.30044169163584,-76.61106079564594,
590,JFX North,2508,Dept of Corrections,"(39.299624613118652, -76.611231166926743)",39.29962461311865,-76.61123116692674,
591,N Charles St and Center St,2601,Midtown,"(39.296588623907333, -76.615371245613787)",39.29658862390733,-76.61537124561379,
592,N Charles St and Madison St,2602,Midtown,"(39.298204874747853, -76.615859643155588)",39.29820487474785,-76.61585964315559,
593,N Charles St and Read Ave,2603,Midtown,"(39.299588925174533, -76.615747008035569)",39.29958892517453,-76.61574700803557,
594,Park Ave and Read St,2604,Midtown,"(39.300242641434217, -76.61862571161997)",39.30024264143422,-76.61862571161997,
595,N Charles St and Eager St,2605,Midtown,"(39.300928290627837, -76.615753753359144)",39.30092829062784,-76.61575375335914,
596,N Charles St and Chase St,2606,Midtown,"(39.302116821383819, -76.61592230885968)",39.30211682138382,-76.61592230885968,
597,N Charles St and E Biddle St,2607,Midtown,"(39.303319497011273, -76.615908899597272)",39.30331949701127,-76.61590889959727,
598,N Charles St and Preston St,2608,Midtown,"(39.304624295025803, -76.616370318828061)",39.3046242950258,-76.61637031882806,
599,N Charles St and Mt Royal Ave,2609,Midtown,"(39.305447692495576, -76.616364223213708)",39.30544769249558,-76.61636422321371,
600,N Charles St and Lanvale St,2610,Midtown,"(39.308870460173502, -76.61610089033239)",39.3088704601735,-76.61610089033239,
601,N Charles St and North Ave,2611,Midtown,"(39.311620738528809, -76.616428653173926)",39.31162073852881,-76.61642865317393,
602,N Charles St and 20th St,2612,Midtown,"(39.313036473695789, -76.616610334390259)",39.31303647369579,-76.61661033439026,
